betaElectron,caseName,omegaR0OverCs,gammaR0OverCs,eigenResidual,fieldResidual,runtimeSeconds,boundaryAmplitudeRatio,roughness
0.011,base-single,-2.65146797065987,0.577944625779739,5.74062178202439e-05,2.08291038038178e-07,1.229254,0.00697814652207172,0.0875386395349275
0.011,theta97,-2.65155879127976,0.582372382992346,0.000124197846162133,1.90857648175159e-07,0.5203205,0.00791387813852772,0.0422670218599133
0.011,long-domain,-2.39362039444501,0.417002334653447,7.01829630997963e-05,2.51548726155013e-07,0.6947641,0.0108779956914987,0.0917890403522588
0.011,bounce64,-2.65147936174638,0.578048626805217,4.98140761919785e-05,1.21005582926369e-07,0.4031786,0.00724719484667239,0.0875109683327133
0.011,velocity16x32,-2.65462427705026,0.577515026264353,5.08632510900497e-05,2.03320241619699e-07,0.698369,0.00732889856237048,0.0869633205178883
0.011,base-double,-2.65150417080915,0.577906624096492,9.19696115019759e-14,4.29622800700121e-16,1.2192543,0.00697729594973307,0.0875393569638521
0.015,base-single,-2.10156670247228,1.10022823255666,5.1487899327185e-05,2.07170002164673e-07,0.3307577,0.00976795290012391,0.0983228716002901
0.015,theta97,-2.10709210303472,1.10972689189912,0.000110365697764792,1.79439824675065e-07,0.462764,0.012589474116431,0.0468975110914179
0.015,long-domain,-2.0118186124867,1.01561246670838,7.13865301804617e-05,2.44867132449552e-07,0.565656,0.00329064574021399,0.0986025187843238
0.015,bounce64,-2.10153060559536,1.10025034463559,4.84880620206241e-05,1.96353043747167e-07,0.3533885,0.00953178004560276,0.0976413299682693
0.015,velocity16x32,-2.10357503863583,1.10036595353098,4.63635587948374e-05,1.80264334241351e-07,0.597255,0.00939959385794554,0.0973637395902814
0.015,base-double,-2.10159349781448,1.10021737583206,9.38034004670481e-14,4.03176558678304e-16,0.7134108,0.00976940627975001,0.0983221888051603
