kyRhoS,omegaRoverCs,gammaRoverCs,omegaAoverCs,gammaAoverCs,eigenResidual,fieldConstraintResidual,runtimeSeconds
0.05,-0.09909178026851806,0.028368408904684818,-0.0356730408966665,0.010212627205686534,5.1012902252466776e-14,5.174794559984351e-16,253.07293658300478
0.10,-0.2185709035272532,0.07817086293735967,-0.07868552526981115,0.02814151065744948,1.4298408385359034e-14,3.6226380754679907e-16,3.137035207997542
0.15,-0.3545301449877707,0.14582643067107356,-0.12763085219559744,0.05249751504158648,4.9307635496165685e-15,2.6188776045117983e-16,3.13736379200418
0.20,-0.4989250564444825,0.2029416344805351,-0.1796130203200137,0.07305898841299263,3.2018439034791263e-15,2.6213944642782656e-16,3.086011375002272
0.25,-0.6468300525344675,0.2407531834931942,-0.23285881891240828,0.0866711460575499,5.505637527080028e-15,4.847737749832034e-16,3.205102332998649
0.30,-0.7917906612228344,0.25525411669256887,-0.28504463804022034,0.09189148200932479,1.860119119974253e-15,3.079633459274676e-16,212.0801582500062
0.35,-0.9306308258559506,0.2478663503369248,-0.3350270973081422,0.08923188612129293,2.6919056203695683e-15,3.1383883441446153e-16,3.1684325839960366
0.40,-1.0596180725359976,0.2217885742377896,-0.3814625061129591,0.07984388672560426,1.89947248130222e-15,2.769688998986109e-16,3.2977320830032113
0.45,-1.17795246217679,0.18000742090810842,-0.4240628863836444,0.06480267152691903,1.9659131017763584e-15,2.8357753901827243e-16,3.1864507499994943
0.50,-1.2886614245451686,0.12679839863477282,-0.46391811283626067,0.04564742350851821,2.60602664158428e-15,4.1229171599495015e-16,3.194832792003581
0.55,-1.3972489197291833,0.048927450386510946,-0.503009611102506,0.01761388213914394,5.809645486453746e-15,2.59459055397795e-16,3.22243704200082
0.60,-1.4671329843124539,0.020365156912538165,-0.5281678743524834,0.007331456488513739,8.902618633804213e-15,2.5532483162810206e-16,267.1241630000004
0.65,-1.5370723856280737,-0.008012744796000334,-0.5533460588261065,-0.00288458812656012,5.055448973616939e-15,1.8745986347101965e-15,3.258890833996702
