kyRhoS,itgOmegaRoverCs,itgGammaRoverCs,temOmegaRoverCs,temGammaRoverCs,itgOmegaAoverCs,itgGammaAoverCs,temOmegaAoverCs,temGammaAoverCs,dominantBranch,dominantGammaAoverCs,itgEigenResidual,temEigenResidual,itgFieldResidual,temFieldResidual,itgModeOverlap,temModeOverlap,itgRuntimeSeconds,temRuntimeSeconds
0.05,-0.07985789415686159,0.0006539955227315847,0.08616387497314054,0.03292549841377997,-0.028748841896470173,0.00023543838818337046,0.031018994990330593,0.01185317942896079,TEM,0.01185317942896079,1.5644034478852997e-09,2.571879365990191e-12,6.9137793334747645e-15,3.6562862258931554e-15,0.023099618537891196,0.9174760023502647,11.820755416003522,4.754050625000673
0.10,-0.22300053507496495,0.14252886013474833,0.17734002184494066,0.07871785232967392,-0.08028019262698738,0.0513103896485094,0.06384240786417864,0.02833842683868261,ITG,0.0513103896485094,3.2049985211886965e-13,5.326003796896649e-13,5.3864834897138944e-15,3.862260785190674e-15,0.9770060920626907,0.959562869599597,4.674289958005829,4.671324374998221
0.15,-0.36631079526639515,0.268673129879882,0.25958427986223015,0.12647534675707373,-0.13187188629590224,0.09672232675675752,0.09345034075040284,0.04553112483254654,ITG,0.09672232675675752,1.8566484031896822e-13,2.811592641468293e-13,4.259144194487554e-15,3.698829619577841e-15,0.9925462439455299,0.9848757171724843,4.700511417002417,4.673664959002053
0.20,-0.5322823474434359,0.37764414292277304,0.3346761212359601,0.15918638462573773,-0.19162164507963694,0.1359518914521983,0.12048340364494563,0.05730709846526558,ITG,0.1359518914521983,1.2570147828262928e-13,1.879546685034592e-13,3.0186486827034304e-15,3.208940512341219e-15,0.9962175062024597,0.9907191401653273,4.6951071660005255,4.725227208000433
0.25,-0.7096848359925326,0.4497882892685343,0.4114455583142026,0.17824848734892995,-0.2554865409573117,0.16192378413667236,0.14812040099311294,0.06416945544561478,ITG,0.16192378413667236,9.577159539490189e-14,1.4157264368191275e-13,2.954320611522352e-15,2.7287194933297996e-15,0.9972254776836459,0.9918198991447269,4.803143832999922,4.704335708003782
0.30,-0.8882177610935911,0.4810978795052263,0.4899996894769783,0.1883856963403177,-0.31975839399369277,0.17319523662188147,0.17639988821171218,0.06781885068251438,ITG,0.17319523662188147,7.629183017218209e-14,1.1605373396244633e-13,2.034450450698592e-15,1.80837571702834e-15,nan,nan,4.711926207994111,4.689661874996091
0.35,-1.0594050134069506,0.4751923075581887,0.5701349765567869,0.19089866916508944,-0.3813858048265022,0.17106923072094793,0.20524859156044328,0.06872352089943219,ITG,0.17106923072094793,6.987491616185853e-14,1.2020347977673145e-13,1.5853509792144707e-15,1.5617372762644795e-15,0.9975274061587185,0.9914288628367173,4.734500584003399,4.668008582993934
0.40,-1.2173358512432435,0.4385710126415662,0.6519620326207309,0.18898864908835525,-0.43824090644756764,0.15788556455096384,0.23470633174346311,0.06803591367180789,ITG,0.15788556455096384,6.468596226040232e-14,8.864472929387066e-14,1.2206513272488058e-15,1.4644072587557592e-15,0.9975241884501667,0.9894537580043999,4.703430833003949,4.703981375001604
0.45,-1.3601534409958527,0.37953468916270894,0.7332146672483312,0.18429851883004653,-0.4896552387585069,0.1366324880985752,0.26395728020939924,0.06634746677881674,ITG,0.1366324880985752,5.5232975702406404e-14,8.588981323163616e-14,8.886730546129209e-16,1.0316078805962676e-15,0.9972318164759015,0.9830677510830842,4.7405429589998676,4.734890791994985
0.50,-1.4881880648782466,0.3098071354131022,0.8085797429367566,0.18038509794323754,-0.5357477033561687,0.11153056874871678,0.29108870745723237,0.06493863525956552,ITG,0.11153056874871678,5.416216005559925e-14,7.208311725393495e-14,1.2156517042318593e-15,8.627699747763408e-16,0.9964406536285194,0.9683421149983261,4.745985166999162,4.7295068750026985
0.55,-1.604853698879574,0.23443634100774413,0.8845678352734031,0.182844464049106,-0.5777473315966466,0.08439708276278789,0.3184444206984251,0.06582400705767816,ITG,0.08439708276278789,5.010907049468628e-14,6.463265084508023e-14,7.590426479153624e-16,5.382130056384116e-16,0.994348095884536,0.9795442499544879,4.703014499995334,4.756966959001147
0.60,-1.714784772845655,0.1495642572588432,0.962728255468043,0.1866881425873792,-0.6173225182244357,0.053843132613183554,0.34658217196849544,0.06720773133145651,TEM,0.06720773133145651,4.891405553859874e-14,5.713374981377448e-14,8.176378137229104e-16,6.490355348534726e-16,0.9868212745269812,0.9882504069327507,4.938635083002737,4.743801249998796
0.65,-1.8358490844302646,0.043189765250248625,1.0417378491082563,0.19104136682106515,-0.6609056703948952,0.015548315490089504,0.37502562567897224,0.06877489205558344,TEM,0.06877489205558344,5.2096887116018814e-14,5.064801224497882e-14,7.985568371040949e-16,6.621477392003779e-16,0.9361956276910656,0.9929965134288801,4.746480500005418,4.694813417001569
