code,ky_rhoi,omega_cs_over_Ln,gamma_cs_over_Ln,paper_FULL_omega_cs_over_Ln,paper_FULL_gamma_cs_over_Ln,omega_relative_error,gamma_relative_error,gamma_within_digitization_uncertainty,omega_within_digitization_uncertainty,gamma_within_published_spread,omega_within_published_spread
gk-eig,0.1,-0.09603128117671138,0.03592037395913785,-0.09484,0.03937,0.012560957156383215,0.087620676679252,False,True,True,True
gk-eig,0.2,-0.21949778044873056,0.09334892016329337,-0.22012,0.0953,0.002826728835496338,0.020473030815389603,True,True,True,True
gk-eig,0.3,-0.35038735155809364,0.11911781108742762,-0.3454,0.11946,0.014439350197144343,0.0028644643610612093,True,True,True,True
gk-eig,0.4,-0.4713821142685484,0.10523673634829787,-0.46352,0.11051,0.016961758432318858,0.04771752467380439,False,True,True,True
gk-eig,0.5,-0.568847918847317,0.06283484236749545,-0.56732,0.07919,0.002693222250787837,0.2065305926569585,False,True,True,True
gk-eig,0.6,-0.6613765572133172,0.01142646048144807,-0.65324,0.02192,0.012455693486799929,0.47871986854707704,False,True,False,True
CGYRO,0.1,-0.09593961236474512,0.035595113842247485,-0.09484,0.03937,0.01159439439840914,0.09588230017151428,False,True,True,True
CGYRO,0.2,-0.2197855831803502,0.09347282879584067,-0.22012,0.0953,0.0015192477723505202,0.0191728353007275,True,True,True,True
CGYRO,0.3,-0.3511047697401381,0.1195461132206597,-0.3454,0.11946,0.01651641499750468,0.000720854015232694,True,True,True,True
CGYRO,0.4,-0.4756128838709047,0.1063319323985307,-0.46352,0.11051,0.026089238589283605,0.037807145068041795,False,False,True,False
CGYRO,0.5,-0.5892849899269081,0.063980993879092,-0.56732,0.07919,0.03871710838135108,0.19205715520782932,False,False,True,False
CGYRO,0.6,-0.7052666640973783,0.013103084014104054,-0.65324,0.02192,0.07964402684676108,0.40223156869963256,False,False,False,False
