source_code,ky_rhoi,gamma_cs_over_Ln,omega_over_4_cs_over_Ln,omega_cs_over_Ln,digitization_uncertainty_gamma,digitization_uncertainty_omega
FULL,0.1,0.03937,-0.02371,-0.09484,0.003,0.012
FULL,0.2,0.09530,-0.05503,-0.22012,0.003,0.012
FULL,0.3,0.11946,-0.08635,-0.34540,0.003,0.012
FULL,0.4,0.11051,-0.11588,-0.46352,0.003,0.012
FULL,0.5,0.07919,-0.14183,-0.56732,0.003,0.012
FULL,0.6,0.02192,-0.16331,-0.65324,0.003,0.012
GTC,0.1,0.03087,-0.02550,-0.10200,0.003,0.012
GTC,0.2,0.08277,-0.04474,-0.17896,0.003,0.012
GTC,0.3,0.10694,-0.07338,-0.29352,0.003,0.012
GTC,0.4,0.10783,-0.10157,-0.40628,0.003,0.012
GTC,0.5,0.07740,-0.12662,-0.50648,0.003,0.012
GTC,0.6,0.02908,-0.14586,-0.58344,0.003,0.012
GT3D,0.1,0.03624,-0.02013,-0.08052,0.003,0.012
GT3D,0.2,0.08904,-0.04877,-0.19508,0.003,0.012
GT3D,0.3,0.11051,-0.07606,-0.30424,0.003,0.012
GT3D,0.4,0.09351,-0.10515,-0.42060,0.003,0.012
GT3D,0.5,0.06488,-0.13020,-0.52080,0.003,0.012
